var,importance
rh_mean,0.882005523850241
DD35,0.751065478155158
tmax_p95,0.66056981447187
tmax_mean,0.608451342066873
lat,0.402122858656102
HDW,0.24524612673254
rain_p95,0.231667500862925
radn_mean,0.163916163316789
tmin_p05,0.129678572328953
rain_sum,0.0934969043783559
tmin_mean,0.0872223642997166
tmean_mean,0.0623535059021675
lon,0.0109177233251536
wind_p95,0.00105160235476931
wind_mean,-0.00675835389195949
