cell_id,lon,lat,DD35,HDW,tmax_mean,tmin_mean,tmean_mean,tmax_p95,tmin_p05,radn_mean,rain_sum,rain_p95,rh_mean,wind_mean,wind_p95,Yield_pred_t_ha,Fail
EGF_000001,25.05322265625,22.044873046875,257.098103930612,39.2621613010318,33.2323752133528,17.7548324018141,25.4936038075835,40.4124011700178,7.94268514031944,27.0785792111679,1.91321163968706,0.00317899785239334,33.8631151918633,3.21920693718868,4.74018545763832,0.730772639652211,TRUE
EGF_000002,25.15322265625,22.044873046875,257.115439795706,39.2652760108556,33.233239941907,17.7555735997076,25.4944067708073,40.4124281489136,7.94245258912572,27.0802397355514,1.90981916213305,0.00315592062316602,33.8464728727931,3.21936248333882,4.73997902862349,0.730772639652211,TRUE
EGF_000003,25.25322265625,22.044873046875,257.133495566643,39.2682645514031,33.2341141386873,17.7562994641362,25.4952068014117,40.4124564566168,7.94221125634984,27.0819004607415,1.90635523926368,0.00313280027446063,33.8298857724536,3.21952598625601,4.73978047683245,0.730535135374829,TRUE
EGF_000004,25.35322265625,22.044873046875,257.152271249274,39.2711149506507,33.2349971021496,17.7570083310457,25.4960027165977,40.4124859906269,7.94196095606979,27.0835594575668,1.90282088757256,0.00310966142970696,33.8133759915958,3.21969762350856,4.73959040489504,0.73036132701137,TRUE
EGF_000005,25.45322265625,22.044873046875,257.171764676266,39.273815051653,33.235888092702,17.7576985251897,25.4967933089459,40.4125166358967,7.94170151954833,27.0852147601828,1.89921732610358,0.00308652917861763,33.7969660221639,3.21987756100383,4.73940941111565,0.73036132701137,TRUE
EGF_000006,25.55322265625,22.044873046875,257.191971325863,39.2763525599649,33.2367863329344,17.7583683677744,25.4975773503544,40.4125482644953,7.94143279716088,27.086864372749,1.89554598774396,0.00306342899388926,33.7806786653296,3.2200659510407,4.73923808611894,0.73036132701137,TRUE
EGF_000007,25.65322265625,22.044873046875,257.21288414585,39.2787150956192,33.2376910079933,17.7590161845404,25.4983535962669,40.4125807353822,7.94115466037008,27.0885062764347,1.891808530238,0.0030403866443557,33.7645369449594,3.22026293029494,4.73907700936078,0.73036132701137,TRUE
EGF_000008,25.75322265625,22.044873046875,257.234493386154,39.2808902496286,33.2386012661192,17.7596403142331,25.4991207901762,40.4126138943129,7.94086700374043,27.0901384367027,1.88800684675093,0.00301742810526945,33.7485640171589,3.22046861775579,4.73892674553074,0.699628494807364,TRUE
EGF_000009,25.85322265625,22.044873046875,257.256786443695,39.2828656449264,33.239516219368,17.7602391174028,25.4998776683854,40.4126475738955,7.94056974698581,27.091758810812,1.88414307579583,0.00299457946643246,33.7327830766106,3.22068311263483,4.73878784087607,0.699628494807364,TRUE
EGF_000010,25.95322265625,22.044873046875,257.279747723306,39.2846290015953,33.2404349445372,17.760810985472,25.5006229650046,40.4126815938167,7.94026283704056,27.0933653554815,1.88021961032257,0.00297186683893249,33.7172172604818,3.22090649227081,4.73866081948006,0.699628494807364,TRUE
EGF_000011,26.05322265625,22.044873046875,257.303358518616,39.2861682061659,33.2413564843204,17.7613543499972,25.5013554171588,40.4127157612575,7.93994625014301,27.0949560346485,1.87623910575624,0.00294931626126226,33.7018895507367,3.2211388100562,4.73854617953052,0.699628494807364,TRUE
EGF_000012,26.15322265625,22.044873046875,257.327596916762,39.2874713846887,33.2422798487106,17.7618676920469,25.5020737703788,40.4127498715117,7.9396199939185,27.0965288272595,1.87220448676466,0.00292695360560764,33.6868226757192,3.22138009341332,4.73844438961651,0.699628494807364,TRUE
